f_city_code,f_attraction_name,f_attraction_type,f_attraction_tier
SIN,Gardens by the Bay,nature,must_see
SIN,Marina Bay Sands,landmark,must_see
SIN,Merlion Park,landmark,popular
HKG,Victoria Peak,landmark,must_see
HKG,Star Ferry,landmark,must_see
HKG,Temple Street Night Market,nightlife,popular
LON,British Museum,museum,must_see
LON,Tower of London,landmark,must_see
LON,Buckingham Palace,landmark,popular
YVR,Stanley Park,nature,must_see
YVR,Granville Island,food,must_see
YVR,Capilano Suspension Bridge,nature,popular
SUB,House of Sampoerna,museum,must_see
SUB,Heroes Monument,landmark,popular
SUB,Tunjungan Plaza,shopping,popular
SGN,Ben Thanh Market,shopping,must_see
SGN,War Remnants Museum,museum,must_see
SGN,Notre-Dame Cathedral Basilica of Saigon,religious,popular
TRV,Sree Padmanabhaswamy Temple,religious,must_see
TRV,Kovalam Beach,beach,must_see
TRV,Napier Museum,museum,popular
TPE,Taipei 101,landmark,must_see
TPE,National Palace Museum,museum,must_see
TPE,Shilin Night Market,food,popular
SYD,Sydney Opera House,landmark,must_see
SYD,Bondi Beach,beach,must_see
SYD,The Rocks,landmark,popular
SZG,Hohensalzburg Fortress,landmark,must_see
SZG,Mozart's Birthplace,museum,must_see
SZG,Mirabell Palace and Gardens,landmark,popular
PEN,George Town UNESCO Historic Site,landmark,must_see
PEN,Kek Lok Si,religious,must_see
PEN,Penang Hill,nature,popular
BJS,Forbidden City,landmark,must_see
BJS,Great Wall at Mutianyu,landmark,must_see
BJS,Temple of Heaven,religious,popular
NGO,Nagoya Castle,landmark,must_see
NGO,Atsuta Shrine,religious,must_see
NGO,Osu Shopping District,shopping,popular
TYO,Senso-ji,religious,must_see
TYO,Tokyo Skytree,landmark,must_see
TYO,Shibuya Crossing,nightlife,popular
RUH,Kingdom Centre,landmark,must_see
RUH,National Museum of Saudi Arabia,museum,must_see
RUH,At-Turaif District in Diriyah,landmark,popular
SHA,The Bund,landmark,must_see
SHA,Yu Garden,landmark,must_see
SHA,Shanghai Museum,museum,popular
BKK,Grand Palace,landmark,must_see
